TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
63,0.09471153,0.05562621,3.45687,1.639181,0.6505527,4.741706,0.8072935,23.6827,6.323019,17.86133,5.448357
64,0.09475983,0.05583033,3.463621,1.636862,0.6416769,4.470095,0.8221935,21.37831,11.37366,33.21262,9.518949
65,0.09480404,0.05599628,3.467997,1.631822,0.6378177,4.358727,0.8272135,21.5794,22.73145,14.86478,17.66956
66,0.09483641,0.0561236,3.46716,1.624406,0.6464263,4.624247,0.8205893,24.47854,23.59729,3.170704,15.64923
67,0.09485645,0.0562476,3.463474,1.617266,0.6580892,5.014267,0.8118193,27.0224,13.46588,2.725024,9.751355
68,0.09486869,0.05638497,3.459175,1.611785,0.6598184,5.152263,0.8062342,27.33856,6.82229,4.608208,6.146694
69,0.0948833,0.05654217,3.456637,1.608002,0.6526792,5.028866,0.8066543,25.72868,5.108218,9.143088,4.889153
70,0.0949229,0.05672761,3.459713,1.60663,0.643433,4.756025,0.816495,23.14813,7.485892,18.04066,6.157244
71,0.09497163,0.05691555,3.466479,1.604647,0.6363778,4.525211,0.8291191,21.20477,12.83401,31.64845,10.1866
72,0.09501284,0.05705858,3.46943,1.599792,0.634644,4.478453,0.8296011,21.78904,22.53641,11.52133,17.45166
73,0.09504195,0.05722191,3.466639,1.592763,0.6435235,4.768538,0.8190083,24.62872,22.00858,3.767059,14.41115
74,0.09505989,0.05740273,3.461181,1.586157,0.6537775,5.129907,0.8073468,26.81041,13.5622,2.853115,9.562097
75,0.09507248,0.05760481,3.455531,1.581207,0.655681,5.26433,0.7999101,27.01221,7.081286,5.353302,6.206288
76,0.09508917,0.05783006,3.451982,1.577989,0.6494666,5.145873,0.7990952,25.4634,5.513187,11.66613,5.236574
77,0.09512351,0.05807843,3.452899,1.576412,0.6409027,4.897028,0.8058385,23.22165,8.453967,21.51316,7.193264
78,0.09516986,0.05832357,3.456098,1.574633,0.6355314,4.702949,0.8131548,21.99229,16.53515,22.81624,12.4365
79,0.09521424,0.05853791,3.457165,1.571035,0.6386876,4.772839,0.812973,23.07224,26.74034,8.656757,17.07435
80,0.09524701,0.05872419,3.454297,1.566153,0.6527894,5.2157,0.8053854,25.89608,21.26991,1.832419,13.68207
81,0.09526908,0.05890834,3.449327,1.562088,0.6632995,5.599268,0.797348,27.74659,10.21417,2.664947,8.164842
82,0.09528723,0.05910698,3.444588,1.559696,0.6622092,5.642475,0.7936112,27.34625,4.764328,5.756408,5.06216
83,0.09531946,0.0593346,3.44346,1.559627,0.6541312,5.414555,0.7983353,25.18331,4.668605,11.53221,4.659346
84,0.09538431,0.05960245,3.449973,1.561806,0.6462904,5.079102,0.8150273,22.37517,8.425103,23.78917,6.899324
85,0.09545618,0.05986296,3.458466,1.562502,0.6421551,4.84949,0.8309953,20.91403,15.23991,31.31798,12.48597
86,0.09551664,0.06007075,3.461875,1.559988,0.6445959,4.875597,0.8329823,22.36406,24.51638,9.76928,18.59788
87,0.09556279,0.06024512,3.460112,1.555841,0.6569213,5.256035,0.8254536,25.7282,20.11876,2.50571,13.80271
88,0.09559888,0.06042862,3.456879,1.552829,0.6666541,5.593982,0.8199458,27.71035,10.58692,3.540935,8.23496
89,0.09563342,0.06063643,3.454662,1.551867,0.6665625,5.632764,0.8208416,27.31101,5.441129,7.843653,5.458037
90,0.09568112,0.06087324,3.455925,1.552985,0.6600454,5.421397,0.8296398,25.27505,5.995102,13.99915,5.700427
91,0.09575243,0.06113553,3.46251,1.555594,0.6538982,5.139136,0.8459147,22.97426,10.71887,20.81877,8.46983
92,0.09582791,0.06138746,3.470623,1.556911,0.6524017,5.002201,0.8603833,22.02501,17.29572,22.91931,12.79127
93,0.09589311,0.06159405,3.474455,1.55585,0.6576348,5.125927,0.8626705,23.36339,21.91255,6.766106,15.95644
94,0.09594529,0.06176994,3.473706,1.553783,0.6682972,5.468058,0.8559582,25.74552,16.85927,2.716703,11.52755
95,0.09598906,0.06194845,3.471364,1.552599,0.6748689,5.70997,0.8492008,26.74119,8.698538,4.996275,7.160283
96,0.09603567,0.06214607,3.470108,1.553042,0.6729317,5.665866,0.8472372,25.79285,5.531318,9.909163,5.506659
97,0.09609738,0.06236826,3.471786,1.554782,0.6667597,5.427655,0.8521679,23.75361,7.744829,15.72246,6.686345
98,0.09617745,0.06260439,3.477261,1.557212,0.6625422,5.18954,0.8618225,21.98407,13.13197,21.09403,9.861622
99,0.09625728,0.06281824,3.482166,1.557912,0.6638094,5.139492,0.8664806,21.85124,18.5451,20.13434,13.67287
100,0.09632596,0.06298894,3.482415,1.556587,0.670907,5.329174,0.8597456,23.67707,22.85755,4.341553,15.83305
101,0.09638295,0.06313957,3.478993,1.554817,0.6828403,5.718663,0.847469,26.09085,14.9427,2.358065,10.45645
